chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,label
0.250416,6.847792,0.305406,0.073372,-0.127863,-0.000873,-0.285148,-0.002999,-0.079687,-0.000334,1.286456,2.297979,15.456326,0.184037,36.429344,0.075399,-0.115774,classical
0.273603,7.176404,0.152897,0.108547,-0.127900,-0.000873,-0.285188,-0.002999,-0.079701,-0.000334,0.329300,0.661810,15.456208,0.061420,35.885011,0.009705,-0.115709,classical
0.022307,7.174416,0.132949,0.148657,-0.127850,-0.000873,-0.285154,-0.002999,-0.079682,-0.000334,1.688944,2.911746,14.940278,0.058962,35.456317,0.001414,-0.115560,classical
0.268272,6.299590,0.107952,0.025128,-0.127892,-0.000873,-0.285186,-0.002999,-0.079699,-0.000334,0.552927,1.066341,14.950380,0.031184,36.154026,0.002750,-0.115560,classical
0.257983,6.240934,0.488457,0.686462,-0.127845,-0.000873,-0.285114,-0.002999,-0.079678,-0.000334,1.545135,2.697491,14.972279,0.446882,30.958458,0.300378,-0.114079,classical
0.209176,7.937986,0.130418,0.181260,-0.127893,-0.000873,-0.285213,-0.002999,-0.079700,-0.000334,0.741059,1.396145,15.536341,0.038865,37.154206,0.060676,-0.115038,classical
0.242334,7.268066,0.278629,0.279693,-0.127890,-0.000873,-0.285184,-0.002999,-0.079698,-0.000334,0.742640,1.398877,15.165912,0.145824,32.129793,0.113661,-0.115560,classical
-0.026895,8.403402,0.262622,0.595467,-0.127914,-0.000873,-0.285263,-0.002999,-0.079716,-0.000334,0.494590,0.962120,15.373320,0.210941,36.231684,0.015226,-0.115383,classical
-0.012794,7.253707,0.146496,0.147614,-0.127884,-0.000873,-0.285178,-0.002999,-0.079696,-0.000334,0.820652,1.532785,15.394254,0.065057,35.774949,0.004804,-0.115280,classical
0.328734,7.156354,0.309027,0.397591,-0.127900,-0.000873,-0.285226,-0.002999,-0.079704,-0.000334,0.599960,1.149691,15.460400,0.190952,36.449385,0.106396,-0.115383,classical
