chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,label
0.395752,0.721663,0.618004,0.152686,0.785241,0.352850,0.975470,0.096519,0.908910,0.135158,0.595709,0.684422,0.631321,0.350990,0.498142,0.317819,0.207373,pop
0.528792,0.654911,0.455610,0.090574,0.519865,0.528800,0.654195,0.365842,0.577072,0.446786,0.474333,0.566179,0.560412,0.122398,0.068775,0.314745,0.340024,pop
0.399919,0.682125,0.653223,0.229884,0.488395,0.410190,0.748475,0.318377,0.614025,0.431689,0.337757,0.420149,0.631310,0.357756,0.443873,0.376505,0.656344,pop
0.146811,0.587917,0.206087,0.011740,0.235256,0.005819,0.268567,0.016219,0.242105,0.006647,0.333314,0.415167,0.626073,0.068634,0.433047,0.002318,0.511364,classical
0.352819,0.667547,0.035944,0.005036,0.432623,0.165419,0.469763,0.157208,0.462237,0.153551,0.511752,0.603788,0.601671,0.001697,0.427135,0.003166,0.187721,rock
0.506244,0.501588,0.328074,0.058683,0.410085,0.106604,0.626614,0.167007,0.503422,0.194759,0.308700,0.387307,0.629557,0.088000,0.445763,0.104925,0.269730,pop
0.392102,0.570410,0.327603,0.060157,0.298134,0.239176,0.430434,0.434641,0.341585,0.254915,0.262336,0.333618,0.628941,0.118940,0.459337,0.078550,0.242115,pop
0.507213,0.649786,0.382012,0.143724,0.532321,0.221652,0.631506,0.158404,0.586735,0.163801,0.469656,0.561405,0.619924,0.106821,0.335234,0.183301,0.320158,disco
0.280188,0.658707,0.023211,0.000880,0.120657,0.034253,0.194204,0.087039,0.160979,0.039084,0.130320,0.172068,0.629690,0.001047,0.445968,0.000086,0.269730,classical
0.611815,0.472429,0.155018,0.067522,0.427669,0.159130,0.422931,0.065000,0.450284,0.069416,0.554841,0.645821,0.629857,0.010381,0.445356,0.071266,0.320158,disco
0.423253,0.732965,0.349019,0.086891,0.279439,0.149614,0.444639,0.139807,0.354631,0.197358,0.163880,0.214352,0.627623,0.118434,0.460353,0.105188,0.197240,rock
0.409174,0.563880,0.457204,0.027423,0.324748,0.106059,0.526456,0.104248,0.443760,0.081763,0.171363,0.223668,0.624241,0.241515,0.200083,0.078818,0.361781,rock
0.377336,0.782724,0.455072,0.062800,0.598001,0.232919,0.784754,0.113029,0.717011,0.125035,0.359565,0.444388,0.630263,0.209436,0.456417,0.143585,0.255411,disco
0.429462,0.490395,0.393669,0.025760,0.396722,0.067799,0.470522,0.069552,0.442544,0.090530,0.426859,0.516976,0.624383,0.140288,0.294089,0.102313,0.385714,rock
0.265759,0.747418,0.183668,0.026540,0.328254,0.206170,0.473317,0.141766,0.396882,0.167270,0.242750,0.310461,0.618243,0.030576,0.360031,0.041489,0.229736,disco
0.391201,0.687203,0.361259,0.100839,0.587495,0.122366,0.739295,0.113861,0.672753,0.160466,0.530636,0.622378,0.628685,0.080732,0.439851,0.173924,0.301948,disco
0.373469,0.535715,0.269187,0.010854,0.354916,0.010238,0.463853,0.017651,0.395637,0.015462,0.443873,0.534800,0.622948,0.070913,0.339559,0.029637,0.301948,classical
0.433909,0.589166,0.410812,0.053564,0.356232,0.080961,0.491224,0.063342,0.469382,0.051609,0.294317,0.370822,0.602834,0.161452,0.370678,0.122269,0.320158,rock
0.214643,0.569407,0.119744,0.024155,0.047512,0.003562,0.026202,0.007130,0.066260,0.004369,0.096761,0.128954,0.629632,0.028279,0.447462,0.000524,0.656344,classical
0.205500,0.618507,0.167412,0.021696,0.145890,0.014006,0.164758,0.053261,0.163100,0.016992,0.169259,0.221053,0.629450,0.041874,0.444954,0.004065,0.474408,classical
0.230974,0.552481,0.016314,0.000454,0.143823,0.029126,0.273084,0.102583,0.203965,0.059556,0.145755,0.191619,0.628825,0.000606,0.438867,0.000023,0.106494,classical
0.495759,0.684215,0.312171,0.075742,0.357205,0.094438,0.488166,0.056995,0.466752,0.047231,0.250058,0.319135,0.611253,0.081334,0.452360,0.117831,0.320158,rock
0.379079,0.903706,0.404940,0.104676,0.774507,0.282111,0.959905,0.252193,0.897909,0.203791,0.629619,0.715518,0.626620,0.107994,0.453991,0.209271,0.320158,pop
0.490627,0.664665,0.530832,0.300900,0.695767,0.473247,0.843973,0.145063,0.794593,0.210068,0.544317,0.635681,0.630794,0.305568,0.433991,0.286967,0.385714,pop
0.267497,0.586491,0.094094,0.006198,0.300407,0.023297,0.332165,0.016369,0.322562,0.017015,0.381782,0.468722,0.619790,0.013604,0.391478,0.001229,0.601113,classical
0.130588,0.608092,0.052597,0.003345,0.071879,0.021365,0.091568,0.074839,0.088997,0.032293,0.115119,0.152642,0.629820,0.005119,0.446133,0.000233,0.474408,classical
0.559724,0.455766,0.478808,0.033599,0.553260,0.187843,0.621977,0.166469,0.592381,0.139587,0.558641,0.649462,0.622331,0.205635,0.302713,0.126485,0.361781,disco
0.335385,0.586783,0.022224,0.000543,0.115290,0.001671,0.207869,0.008862,0.134396,0.003550,0.137687,0.181421,0.607187,0.001027,0.445226,0.000013,0.553247,classical
0.401960,0.599006,0.164528,0.016394,0.388055,0.158212,0.666222,0.217364,0.523586,0.248524,0.255145,0.325149,0.629525,0.026796,0.445286,0.019978,0.170315,pop
0.106870,0.546162,0.060631,0.003184,0.040489,0.003119,0.125494,0.030337,0.029930,0.004417,0.109740,0.145727,0.587432,0.006585,0.436766,0.000255,0.207373,classical
